Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,W0BZN,146.61,-,0.6,Tone,103.5,103.5,23,NN,FM,5,"Newton, K-Link"
2,KS1EMS,146.685,-,0.6,Tone,162.2,162.2,23,NN,FM,5,"Riley, K-Link"
3,N0KOM,146.79,-,0.6,Tone,162.2,88.5,23,NN,FM,5,"Stockton, K-Link"
4,WV0S,146.805,-,0.6,Tone,162.2,162.2,23,NN,FM,5,"Topeka, K-Link"
5,N0KOM,146.88,-,0.6,Tone,162.2,162.2,23,NN,FM,5,"Lenora, K-Link"
6,K0KSN,146.925,-,0.6,Tone,162.2,162.2,23,NN,FM,5,"Norway, K-Link"
7,K0HAM,147.045,+,0.6,Tone,88.5,88.5,23,NN,FM,5,"Matfield Green, K-Link"
8,K0HAM,147.135,+,0.6,Tone,88.5,88.5,23,NN,FM,5,"Hoisington, K-Link"
9,N0XRM,147.165,+,0.6,Tone,162.2,162.2,23,NN,FM,5,Clay Center
10,K0MXJ,147.195,+,0.6,,88.5,88.5,23,NN,FM,5,"Lincoln, K-Link"
11,KS0MAN,147.255,+,0.6,Tone,88.5,88.5,23,NN,FM,5,"Manhattan, K-Link"
12,KS1EMS,147.315,+,0.6,Tone,162.2,162.2,23,NN,FM,5,"Junction City, K-Link"
13,NZ0M,147.375,+,0.6,Tone,162.2,88.5,23,NN,FM,5,"Osborne, K-Link"
14,WB0SRP,442.1,+,5,Tone,162.2,88.5,23,NN,FM,5,"Miltonvale, K-Link"
15,N0KSC,442.2,+,5,Tone,162.2,162.2,23,NN,FM,5,"Salina, K-Link"
16,N7JYS,442.45,+,5,Tone,162.2,162.2,23,NN,FM,5,"Hays, K-Link"
17,N0SWP,442.475,+,5,Tone,151.4,107.2,23,NN,FM,5,"Paola, K-Link"
18,WX0RG,442.5,+,5,Tone,162.2,162.2,23,NN,FM,5,"Hillsboro, K-Link"
19,N0XRM,442.75,+,5,Tone,162.2,162.2,23,NN,FM,5,"Clay Center, K-Link"
20,K0KSN,442.8,+,5,DTCS,88.5,88.5,162,NN,FM,5,"Beloit, K-Link"
21,K0JWH,443.1,+,5,Tone,162.2,162.2,23,NN,FM,5,"El Dorado, K-Link"
22,W0VFW,443.325,+,5,Tone,162.2,162.2,23,NN,FM,5,"Wichita, K-Link"
23,K0HAM,443.575,+,5,Tone,88.5,88.5,23,NN,FM,5,"Humboldt, K-Link"
24,K0HAM,443.575,+,5,Tone,162.2,162.2,23,NN,FM,5,"Ransom, K-Link"
25,K0HAM,443.675,+,5,Tone,162.2,162.2,23,NN,FM,5,"Dodge City, K-Link"
26,N0NM,443.7,+,5,Tone,162.2,88.5,23,NN,FM,5,"Hill City, K-Link"
27,WB0LUN,444.45,+,5,Tone,162.2,162.2,23,NN,FM,5,"Sterling, K-Link"
28,W0KHP,444.525,+,5,Tone,162.2,162.2,23,NN,FM,5,"Alma, K-Link"
29,N0SGK,444.6,+,5,Tone,162.2,162.2,23,NN,FM,5,"McPherson, K-Link"
30,NV8Q,444.75,+,5,Tone,162.2,162.2,23,NN,FM,5,"Colby, K-Link"
31,K0HAM,444.775,+,5,Tone,162.2,162.2,23,NN,FM,5,"Ellsworth, K-Link"
32,KS0LNK,444.85,+,5,Tone,162.2,162.2,23,NN,FM,5,"Minneapolis, K-Link"
33,AB0UO,444.95,+,5,Tone,162.2,162.2,23,NN,FM,5,"Russell, K-Link"
34,W0MI,444.95,+,5,Tone,100,100,23,NN,FM,5,"Scott City, K-Link"
